execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,iteration_index,elapsed_ns,amortized_ns_per_flow,flows_per_second,status
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,191,526331,526331.0,1899.945091586853,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,192,547600,547600.0,1826.1504747991235,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,193,536991,536991.0,1862.2286034589033,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,194,537511,537511.0,1860.427042423318,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,195,532120,532120.0,1879.2753514244907,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,196,526580,526580.0,1899.046678567359,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,197,526931,526931.0,1897.781682990752,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,198,530060,530060.0,1886.5788778628837,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,199,572110,572110.0,1747.9156106343185,PASS
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,200,521280,521280.0,1918.354818907305,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,1,640380,2501.484375,399762.6409319467,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,2,573070,2238.5546875,446716.80597483733,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,3,568570,2220.9765625,450252.387568813,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,4,588100,2297.265625,435300.1190273763,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,598450,2337.6953125,427771.7436711504,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,6,603260,2356.484375,424360.9720518516,PASS
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,7,620010,2421.9140625,412896.56618441636,PASS
