execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,n,mean_batch_latency_ms,std_batch_latency_ms,coefficient_of_variation,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms_if_n_gte_100,maximum_batch_latency_ms_descriptive_only,p50_ci95_low_ms,p50_ci95_high_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_amortized_latency_ms_per_flow,median_throughput_flows_per_second,median_throughput_ci95_low,median_throughput_ci95_high
51,CPUCOND_072,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,150,72.35303462666667,5.522412560590474,0.07632592867853417,73.4281795,80.11562099999999,83.73032999999998,88.512899,72.704269,74.0728345,78.500309,82.47611444999998,81.319409,88.512899,1.1473153046875,871.6000071674872,864.0151259097199,879.0660703174015
52,CPUCOND_062,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,150,6.604825233333333,0.824379883409101,0.12481479135111827,6.427255000000001,8.048948999999999,9.145757489999996,11.25417,6.343841,6.52342,7.723426449999999,8.6291845,8.1618482,11.25417,0.10042585937500001,9957.622531756499,9815.48646614964,10090.90014382717
53,CPUCOND_048,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,100,2863.6142774899995,86.68381278427256,0.030270771264715238,2845.3492054999997,3036.8875554499996,3136.97859779,3148.750766,2830.739620125,2864.252780475,2965.95271105,3130.06361405,3035.8906926477503,3148.750766,11.114645333984374,89.97138566395915,89.37786179512472,90.37388410741136
54,CPUCOND_013,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,100,13.814057759999999,0.9516568258052052,0.06889046233474018,13.57273,15.66956845,16.74295299000001,18.257949,13.47646,13.7705245,14.891663499999998,16.60650505,15.672018600000001,18.257949,0.0530184765625,18861.35610864477,18597.40817511552,19000.014505429313
55,CPUCOND_027,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,150,0.45561328,0.1822050424502855,0.39991161462696057,0.40193,0.7671999999999987,1.3667022999999983,1.56704,0.39276925,0.41427,0.5619399999999999,1.0367594999999963,0.8568436224999997,1.56704,0.00628015625,159231.7464402116,154488.61853380647,162883.029624351
56,CPUCOND_031,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,200,9.198119394999999,0.9565625734542441,0.10399545084990107,8.88064,11.302716,13.018521299999998,14.205739,8.8218,8.94455,10.75722,11.713259,11.6162786,14.205739,8.88064,112.60450582569108,111.8158013799996,113.35555102133353
57,CPUCOND_058,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,100,392.56959899000003,17.26616763579622,0.0439824369493167,386.0946955,424.13822605,437.5523997,444.331296,384.14173600000004,391.316416,416.22545799999995,431.459862,424.11754721000005,444.331296,1.508182404296875,663.0497941258443,654.2020460496091,666.2965841265395
58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,200,6.061846865,0.6023873031050851,0.09937355999260881,5.9970444999999994,6.1775135,9.9873207,10.03502,5.99195,6.001295,6.05998,7.55311,7.197069992499974,10.03502,5.9970444999999994,166.74880460568224,166.6404208976826,166.88530032509084
59,CPUCOND_057,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,150,79.80227867999999,11.800427708825431,0.14787081151083534,80.176624,98.55976349999999,105.46197019999997,112.233299,77.016119,83.5407395,93.704659,101.95632254999998,99.52064528999999,112.233299,1.25275975,798.2414849525264,767.6853442690092,830.4389931597157
60,CPUCOND_065,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,20,442.39860179999994,9.800349253893268,0.022152758200451594,440.7160255,463.294661,,473.108845,438.05654549999997,442.46680124999995,443.10159600000003,473.108845,,,0.05379834295654297,18587.949130377237,18514.06314518202,18700.851775752664
61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,100,192.65743617,9.160673057791476,0.04754902400812674,192.807077,207.787326,213.77269749,214.058757,191.0923875,193.93443574999998,205.02535781249998,212.21681354999998,207.76923339,214.058757,0.75315264453125,1327.7520941286139,1320.1634106520728,1339.6661519066458
62,CPUCOND_008,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,100,1.5304812800000003,0.41626765332673044,0.2719848055421693,1.37933,2.4928595,2.9363354000000044,3.75362,1.3582450000000001,1.4088345000000002,1.96963987375,2.91353455,2.495755320500002,3.75362,0.0053880078125,185597.43425470346,180914.0696107273,188470.25561053996
63,CPUCOND_025,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,20,13.67683145,0.1489406132833079,0.010889994062426491,13.64376,13.910149,,13.97606,13.594555,13.75992,13.7742,13.97606,,,0.001665498046875,600421.1060736813,595352.3251872417,602594.3341607898
64,CPUCOND_068,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,100,16.82754336,2.909939874052989,0.17292719512285298,15.763,22.4649535,25.024126510000016,28.19188,15.51718,16.29333,21.089528,24.3985785,22.432149190000008,28.19188,0.06157421875,16240.646042212335,15701.795253623532,16497.843035912454
65,CPUCOND_060,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,20,14951.731040250004,203.2371746488531,0.01359288594088132,15011.109631,15215.292829850001,,15299.518858,14766.102933499998,15082.09214,15098.71205265,15299.518858,,,1.8324108436279296,545.7291435038658,543.1610873123855,554.78422152793
66,CPUCOND_073,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,100,338.78697074,18.03793744177664,0.053242712972039724,344.18710599999997,358.81534905,367.56306069,370.362255,341.010797,347.529531,356.884216,364.4012585,358.775503,370.362255,1.3444808828124999,743.781772022851,736.2564659207617,750.0530838350505
