disagreement_case_id,model,model_display,feature_index,feature_name,selection_count,mean_weight,mean_absolute_weight,weight_standard_deviation,positive_count,negative_count,mean_rank,selection_frequency,stable_in_at_least_four_seeds
DISAGREE_04,xgboost,XGBoost,0,Dst Port,5,-0.029873747549781192,0.029873747549781192,0.0020640587895459496,0,5,3.8,1.0,True
DISAGREE_04,xgboost,XGBoost,16,Flow Pkts/s,5,0.023787329130266648,0.023787329130266648,0.0008863564388558654,5,0,5.2,1.0,True
DISAGREE_04,xgboost,XGBoost,47,PSH Flag Cnt,5,0.022294651532646596,0.022294651532646596,0.001742779719558533,5,0,6.0,1.0,True
DISAGREE_04,xgboost,XGBoost,38,Bwd Pkts/s,5,0.021035273781970874,0.021035273781970874,0.001332695700841718,5,0,7.0,1.0,True
DISAGREE_04,xgboost,XGBoost,21,Fwd IAT Tot,5,0.0201722118827869,0.0201722118827869,0.0030062068665933535,5,0,7.2,1.0,True
DISAGREE_04,xgboost,XGBoost,11,Bwd Pkt Len Max,5,-0.01550720373815338,0.01550720373815338,0.0022136857226798634,0,5,10.0,1.0,True
DISAGREE_04,xgboost,XGBoost,53,Pkt Size Avg,5,0.014514451512992212,0.014514451512992212,0.00276055332018745,5,0,10.2,1.0,True
DISAGREE_04,xgboost,XGBoost,7,Fwd Pkt Len Max,5,-0.013823797117612838,0.013823797117612838,0.0015000872235259347,0,5,10.8,1.0,True
DISAGREE_04,xgboost,XGBoost,18,Flow IAT Std,4,-0.03552058370292924,0.03552058370292924,0.0006892146477848119,0,4,3.0,0.8,True
DISAGREE_04,xgboost,XGBoost,42,Pkt Len Std,4,-0.006219349414878779,0.006219349414878779,0.0017857502574949741,0,4,13.5,0.8,True
DISAGREE_04,xgboost,XGBoost,14,Bwd Pkt Len Std,4,-0.005012282936072303,0.005012282936072303,0.0003833130971904338,0,4,14.25,0.8,True
DISAGREE_04,xgboost,XGBoost,28,Bwd IAT Std,3,0.015931890713193075,0.015931890713193075,0.0011418451561291114,3,0,9.666666666666666,0.6,False
DISAGREE_04,xgboost,XGBoost,9,Fwd Pkt Len Mean,3,0.006057606932100231,0.006057606932100231,0.001827689225413571,3,0,14.0,0.6,False
DISAGREE_04,xgboost,XGBoost,2,Flow Duration,2,-0.013684606188473909,0.013684606188473909,0.003248762672946488,0,2,11.0,0.4,False
DISAGREE_04,xgboost,XGBoost,40,Pkt Len Max,2,-0.00576494897414064,0.00576494897414064,0.000877270127986106,0,2,13.5,0.4,False
DISAGREE_04,xgboost,XGBoost,77,Idle Min,1,0.009817846688312476,0.009817846688312476,,1,0,13.0,0.2,False
DISAGREE_04,xgboost,XGBoost,41,Pkt Len Mean,1,0.0060210406149747925,0.0060210406149747925,,1,0,14.0,0.2,False
DISAGREE_04,xgboost,XGBoost,52,Down/Up Ratio,1,0.005169880671316815,0.005169880671316815,,1,0,14.0,0.2,False
DISAGREE_05,lightgbm,LightGBM,69,Fwd Seg Size Min,5,0.02494727588517113,0.02494727588517113,0.0014129152134752523,5,0,1.0,1.0,True
DISAGREE_05,lightgbm,LightGBM,37,Fwd Pkts/s,5,0.017874196947577334,0.017874196947577334,0.0009831019007337201,5,0,2.2,1.0,True
DISAGREE_05,lightgbm,LightGBM,66,Init Fwd Win Byts,5,-0.01606308007560762,0.01606308007560762,0.0020382919911693773,0,5,2.8,1.0,True
DISAGREE_05,lightgbm,LightGBM,38,Bwd Pkts/s,5,-0.008229270617270783,0.008229270617270783,0.00043708444103724895,0,5,4.2,1.0,True
DISAGREE_05,lightgbm,LightGBM,43,Pkt Len Var,5,0.006274070745849023,0.006274070745849023,0.0014284627422323966,5,0,5.8,1.0,True
DISAGREE_05,lightgbm,LightGBM,67,Init Bwd Win Byts,5,0.00486840745345046,0.00486840745345046,0.00020500816302233962,5,0,8.0,1.0,True
DISAGREE_05,lightgbm,LightGBM,26,Bwd IAT Tot,5,-0.0045776180198547475,0.0045776180198547475,0.0011465720015173147,0,5,8.0,1.0,True
DISAGREE_05,lightgbm,LightGBM,10,Fwd Pkt Len Std,5,-0.004206820677633461,0.004206820677633461,0.0007290601720025029,0,5,8.6,1.0,True
DISAGREE_05,lightgbm,LightGBM,21,Fwd IAT Tot,5,0.0023856489782111577,0.0023856489782111577,0.0007985838014938067,5,0,11.8,1.0,True
DISAGREE_05,lightgbm,LightGBM,31,Fwd PSH Flags,5,0.0007482819663432361,0.0011716516402933564,0.0010545835413281687,4,1,13.6,1.0,True
