disagreement_case_id,model,model_display,original_row_index,y_true,attack_category,rank,feature_index,feature_name,raw_feature_value,shap_value_raw_score,absolute_shap_value,direction
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,41,18,Flow IAT Std,1510819.5003534,-0.024878024247948365,0.024878024247948365,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,42,3,Tot Fwd Pkts,9.0,0.024864198899999693,0.024864198899999693,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,43,14,Bwd Pkt Len Std,674.2636548046,-0.023833340111087477,0.023833340111087477,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,44,43,Pkt Len Var,319835.625,0.022360368763764325,0.022360368763764325,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,45,24,Fwd IAT Max,5859675.0,-0.019714327011746042,0.019714327011746042,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,46,68,Fwd Act Data Pkts,3.0,0.018210952737429627,0.018210952737429627,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,47,72,Active Max,120895.0,0.01697312194346652,0.01697312194346652,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,48,47,PSH Flag Cnt,1.0,-0.015185769279599855,0.015185769279599855,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,49,21,Fwd IAT Tot,5980600.0,0.014711597080124025,0.014711597080124025,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,50,73,Active Min,120895.0,0.013761103671786137,0.013761103671786137,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,51,12,Bwd Pkt Len Min,0.0,-0.013282251340955146,0.013282251340955146,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,52,48,ACK Flag Cnt,0.0,0.009493105071194304,0.009493105071194304,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,53,38,Bwd Pkts/s,1.1704511253,-0.009491922107024672,0.009491922107024672,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,54,39,Pkt Len Min,0.0,-0.009278208524924362,0.009278208524924362,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,55,23,Fwd IAT Std,2065771.45350296,-0.007571157199893871,0.007571157199893871,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,56,8,Fwd Pkt Len Min,0.0,0.007192252645535267,0.007192252645535267,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,57,71,Active Std,0.0,0.007086281245653641,0.007086281245653641,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,58,9,Fwd Pkt Len Mean,39.0,0.006679395956595903,0.006679395956595903,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,59,5,TotLen Fwd Pkts,351.0,-0.005861066838577883,0.005861066838577883,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,60,62,Subflow Fwd Pkts,9.0,-0.004781511489728499,0.004781511489728499,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,61,31,Fwd PSH Flags,0.0,-0.004360996721545442,0.004360996721545442,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,62,45,SYN Flag Cnt,0.0,-0.0032729527219770727,0.0032729527219770727,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,63,49,URG Flag Cnt,0.0,0.00302869789051371,0.00302869789051371,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,64,52,Down/Up Ratio,0.0,0.0018876583935803217,0.0018876583935803217,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,65,75,Idle Std,0.0,-0.001429052035606386,0.001429052035606386,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,66,44,FIN Flag Cnt,0.0,-0.0003242704598329325,0.0003242704598329325,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,67,27,Bwd IAT Mean,6875.5,-0.0002858553232767211,0.0002858553232767211,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,68,33,Fwd URG Flags,0.0,-9.927716871941122e-06,9.927716871941122e-06,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,69,1,Protocol,6.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,70,32,Bwd PSH Flags,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,71,34,Bwd URG Flags,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,72,50,CWE Flag Count,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,73,56,Fwd Byts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,74,57,Fwd Pkts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,75,58,Fwd Blk Rate Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,76,59,Bwd Byts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,77,60,Bwd Pkts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,78,61,Bwd Blk Rate Avg,0.0,0.0,0.0,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,1,0,Dst Port,500.0,-0.7714957594871521,0.7714957594871521,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,2,69,Fwd Seg Size Min,8.0,-0.38826102018356323,0.38826102018356323,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,3,75,Idle Std,15281064.5684944,0.34999555349349976,0.34999555349349976,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,4,66,Init Fwd Win Byts,-1.0,-0.3491399586200714,0.3491399586200714,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,5,77,Idle Min,7200400.0,0.3352864384651184,0.3352864384651184,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,6,53,Pkt Size Avg,583.3333333333,0.23091016709804535,0.23091016709804535,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,7,25,Fwd IAT Min,4000265.0,-0.2064279019832611,0.2064279019832611,supports_benign
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,8,39,Pkt Len Min,500.0,0.2007105052471161,0.2007105052471161,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,9,5,TotLen Fwd Pkts,3000.0,0.16983745992183685,0.16983745992183685,supports_attack
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,10,76,Idle Max,41990301.0,0.15332680940628052,0.15332680940628052,supports_attack
