split,family,subset,reporting,jaccard_at_10_vs_full,jaccard_at_20_vs_full,spearman_common_retained,new_top10_entrants,new_top20_entrants,features_leaving_top10,features_leaving_top20,number_positive_share_gainers
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,XGBoost,0.17647058823529413,0.25,0.7289266513056837,Bwd Pkt Len Min|ACK Flag Cnt|Pkt Len Max|Bwd Pkt Len Std|Bwd Pkts/s|Tot Bwd Pkts|Fwd IAT Tot,ACK Flag Cnt|Pkt Len Max|Bwd Pkt Len Std|Tot Bwd Pkts|Bwd IAT Min|Fwd Pkts/s|Fwd Pkt Len Std|Down/Up Ratio|Tot Fwd Pkts|Flow Duration|Bwd Pkt Len Max|Flow IAT Mean,Dst Port|Fwd Header Len|Init Fwd Win Byts|Init Bwd Win Byts|Pkt Len Std|Fwd Seg Size Min|RST Flag Cnt,Dst Port|Fwd Header Len|Init Fwd Win Byts|Init Bwd Win Byts|Pkt Len Std|Fwd Seg Size Min|RST Flag Cnt|Flow IAT Max|Idle Min|TotLen Fwd Pkts|Fwd IAT Std|Fwd IAT Mean,40
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.25,0.3333333333333333,0.8182603686635945,ACK Flag Cnt|Pkt Len Max|Fwd Pkt Len Mean|Bwd Pkt Len Std|Tot Bwd Pkts|Bwd Pkts/s,ACK Flag Cnt|Pkt Len Max|Bwd Pkt Len Std|Bwd Pkts/s|Fwd Pkts/s|Bwd IAT Min|PSH Flag Cnt|Tot Fwd Pkts|Flow Duration|Down/Up Ratio,Dst Port|Fwd Header Len|Init Fwd Win Byts|Init Bwd Win Byts|Fwd IAT Min|Fwd Seg Size Min,Dst Port|Fwd Header Len|Init Fwd Win Byts|Init Bwd Win Byts|Fwd Seg Size Min|Flow IAT Std|Pkt Len Std|Flow Pkts/s|Fwd IAT Std|Fwd IAT Mean,37
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_COUNTS,LightGBM,0.8181818181818182,0.8181818181818182,0.9507143427248783,Flow IAT Min,Bwd Pkts/s|Fwd Pkts/s,Fwd Seg Size Min,Tot Bwd Pkts|Flow Duration,36
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_COUNTS,XGBoost,1.0,1.0,0.9636443451193234,,,,,35
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_COUNTS,DESCRIPTIVE_CONSENSUS_0.5_0.5,1.0,0.9047619047619048,0.9625269375049885,,Bwd Pkts/s,,Tot Bwd Pkts,39
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_VOLUME_DIRECTION,LightGBM,0.6666666666666666,0.9047619047619048,0.912363317104318,Subflow Fwd Byts|Flow IAT Min,Subflow Fwd Byts,TotLen Fwd Pkts|Fwd Seg Size Min,TotLen Fwd Pkts,29
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_VOLUME_DIRECTION,XGBoost,1.0,0.8181818181818182,0.9375049884268499,,Subflow Fwd Byts|Tot Bwd Pkts,,PSH Flag Cnt|TotLen Fwd Pkts,31
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_VOLUME_DIRECTION,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.8181818181818182,0.8181818181818182,0.9203048926490544,Subflow Fwd Byts,Subflow Fwd Byts|Idle Min,TotLen Fwd Pkts,TotLen Fwd Pkts|Tot Bwd Pkts,34
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_IAT,LightGBM,0.8181818181818182,0.8181818181818182,0.982640274563014,Flow IAT Min,Bwd IAT Max|Bwd Pkts/s,Flow IAT Std,Flow IAT Std|Fwd Pkt Len Max,36
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_IAT,XGBoost,0.8181818181818182,0.8181818181818182,0.9718652725676433,Bwd Pkts/s,Tot Bwd Pkts|Bwd Header Len,Fwd Seg Size Min,Fwd IAT Tot|Flow IAT Max,32
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_IAT,DESCRIPTIVE_CONSENSUS_0.5_0.5,1.0,0.7391304347826086,0.9830792561257884,,Bwd Pkts/s|Bwd IAT Max|Flow Duration,,Flow IAT Std|Bwd Pkt Len Max|Fwd Pkt Len Std,32
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_PACKET_SIZE,LightGBM,0.8181818181818182,1.0,0.9950514805650892,Flow IAT Min,,Fwd Seg Size Min,,33
CHRONOLOGICAL_NATURAL,PLACEBO,PLACEBO_PACKET_SIZE,XGBoost,0.8181818181818182,0.9047619047619048,0.9851943491100648,Bwd Pkt Len Min,Tot Bwd Pkts,Pkt Len Std,Pkt Len Std,31
