family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear
DDOS,LIGHTGBM,STANDARD_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,59272.8,59204.0,227.0742169423909,59049.0,59541.0,492.0,398.0
DDOS,XGBOOST,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.012716676625819634,-0.012008725078505589,0.011173972117901632,-0.02608572217107452,-0.0016422767692966245,0.024443445401777897,0.019813980218561178
DDOS,XGBOOST,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,2044.8,1871.0,1955.8161212138527,148.0,4380.0,4232.0,3517.0
DDOS,XGBOOST,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,234.8,217.0,65.20889509875167,155.0,310.0,155.0,94.0
DDOS,XGBOOST,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0004888767222823359,0.0004392399635260798,0.000148206197159408,0.0003069272359666475,0.0006617775802449815,0.000354850344278334,0.00020334301119606028
DDOS,XGBOOST,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.002950193157349945,-0.002794839379985037,0.0007796875128067668,-0.0038344387663499235,-0.002002668150172693,0.0018317706161772307,0.001186525604763622
DDOS,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.01597163098408929,-0.014614104837260888,0.015276591041060501,-0.03421153350465134,-0.0011560061549517053,0.03305552734969963,0.027470767884899328
DDOS,XGBOOST,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40063.2,40081.0,65.20889509875168,39988.0,40143.0,155.0,94.0
DDOS,XGBOOST,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-2044.8,-1871.0,1955.8161212138527,-4380.0,-148.0,4232.0,3517.0
DDOS,XGBOOST,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.08988885940561131,-0.09014597522986212,0.013607371122397662,-0.10819771332793626,-0.06986092702095914,0.03833678630697712,0.0025200047510941515
DDOS,XGBOOST,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.016326786104134294,-0.016326786104134294,0.0,-0.016326786104134294,-0.016326786104134294,0.0,0.0
DDOS,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.07356207330147702,-0.07381918912572782,0.013607371122397662,-0.09187092722380197,-0.053534140916824846,0.03833678630697712,0.0025200047510941515
DDOS,XGBOOST,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0967054788396231,-0.09844452267848869,0.06223891843438041,-0.18022331961641846,-0.0048990873507310795,0.17532423226568739,0.011542645423059383
