seed,layer,head_a,head_b,cosine_similarity,spearman,top10_jaccard
101,3,1,3,0.9560319466652561,0.5734056512990989,0.3333333333333333
101,3,1,4,0.9333332157547728,0.4275566442131047,0.25
101,3,1,5,0.9455929028889256,0.71579039454116,0.42857142857142855
101,3,1,6,0.9765219640809514,0.7546321406701076,0.6666666666666666
101,3,1,7,0.9141093614838531,0.3013384655760651,0.17647058823529413
101,3,1,8,0.9325994947369723,0.49477735981104015,0.17647058823529413
101,3,2,3,0.9424579964692321,0.6261744379319394,0.3333333333333333
101,3,2,4,0.954272817172628,0.5922316507742105,0.42857142857142855
101,3,2,5,0.9119535353354514,0.6440206456128073,0.25
101,3,2,6,0.9321466974313313,0.5565042428483947,0.25
101,3,2,7,0.9277279680593308,0.31418073659347384,0.17647058823529413
101,3,2,8,0.9180976917283393,0.17952935001312217,0.0
101,3,3,4,0.9238215490749464,0.30224827224214856,0.17647058823529413
101,3,3,5,0.9625970288780828,0.6610270317557518,0.5384615384615384
101,3,3,6,0.9515420485582338,0.4761963082844895,0.5384615384615384
101,3,3,7,0.9121289185946193,0.0900533636602222,0.1111111111111111
101,3,3,8,0.9015979722134844,0.09145306622342751,0.05263157894736842
101,3,4,5,0.9162418532067444,0.6417811215116787,0.25
101,3,4,6,0.9461994367556353,0.44998687778846996,0.25
101,3,4,7,0.9538375958651949,0.3184498294112501,0.3333333333333333
101,3,4,8,0.9280760957570741,0.1093692590324556,0.0
101,3,5,6,0.9524087364448969,0.6759688566179688,0.6666666666666666
101,3,5,7,0.8572934709601104,0.2668707899571341,0.17647058823529413
101,3,5,8,0.8428495395472377,0.14618143644475548,0.05263157894736842
101,3,6,7,0.9258942920408131,0.36491995450966663,0.1111111111111111
101,3,6,8,0.9147320649337991,0.3766074709124311,0.1111111111111111
101,3,7,8,0.9458352140781091,0.1036304785233138,0.0
313,1,1,2,0.7711226065227815,0.26193683842183535,0.17647058823529413
313,1,1,3,0.25894562962485634,0.26585600559881023,0.1111111111111111
313,1,1,4,0.28855895401198606,0.062199282652436357,0.1111111111111111
313,1,1,5,0.24077821828526255,-0.04823724958446331,0.05263157894736842
313,1,1,6,0.26941642002130567,0.09131309596710699,0.17647058823529413
313,1,1,7,0.08703865551660213,-0.04914705625054676,0.05263157894736842
313,1,1,8,0.103492784717951,0.24465051176624963,0.05263157894736842
313,1,2,3,0.42489365456321215,0.3271629778672032,0.17647058823529413
313,1,2,4,0.4414716715629832,0.275513953284927,0.05263157894736842
313,1,2,5,0.4579723433753432,0.0799755052051439,0.17647058823529413
313,1,2,6,0.24748469367247572,0.1382381243985653,0.05263157894736842
313,1,2,7,0.12021061617620944,0.2546933776572478,0.1111111111111111
313,1,2,8,0.11416775003617498,-0.007470912431108389,0.1111111111111111
