group,case_count,rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation
TRUE_ATTACK,32,55,25,Fwd IAT Min,0.012051466530573169,0.001130001628837241
TRUE_ATTACK,32,56,27,Bwd IAT Mean,0.011906308117343181,0.0011096118344730713
TRUE_ATTACK,32,57,56,Subflow Bwd Pkts,0.011891357750086392,0.002693969377531444
TRUE_ATTACK,32,58,8,Fwd Pkt Len Min,0.011881081228115487,0.0009575459234240324
TRUE_ATTACK,32,59,67,Idle Std,0.011864776511632306,0.0008949581493762683
TRUE_ATTACK,32,60,57,Subflow Bwd Byts,0.011834354577237353,0.000888119959000819
TRUE_ATTACK,32,61,42,FIN Flag Cnt,0.01182651811190194,0.0008026819271809843
TRUE_ATTACK,32,62,41,Pkt Len Var,0.011806083549924986,0.0014810020075761525
TRUE_ATTACK,32,63,21,Fwd IAT Tot,0.011780104347669998,0.0015046658877257491
TRUE_ATTACK,32,64,62,Active Mean,0.011641387363006954,0.0022188703577221483
TRUE_ATTACK,32,65,55,Subflow Fwd Byts,0.011588362654982512,0.0005510253930216338
TRUE_ATTACK,32,66,32,Fwd URG Flags,0.01154434814624171,0.0014462185552865361
TRUE_ATTACK,32,67,6,TotLen Bwd Pkts,0.011511370991337479,0.0018985140659675366
TRUE_ATTACK,32,68,48,CWE Flag Count,0.011298828561571151,0.0009546564474654626
TRUE_ATTACK,32,69,65,Active Min,0.0110372142207328,0.0018449530659568403
TRUE_ATTACK,32,70,3,Tot Fwd Pkts,0.010815763282626114,0.0011860192582478558
TRUE_BENIGN,32,1,61,Fwd Seg Size Min,0.03905110635506479,0.0052001868909214285
TRUE_BENIGN,32,2,0,Dst Port,0.02457082178811554,0.004418309223961518
TRUE_BENIGN,32,3,58,Init Fwd Win Byts,0.022473964954042466,0.00943817685509752
TRUE_BENIGN,32,4,46,ACK Flag Cnt,0.019513306782137804,0.002733466056277477
TRUE_BENIGN,32,5,50,Down/Up Ratio,0.019023852430898932,0.0029537624639574597
TRUE_BENIGN,32,6,35,Fwd Pkts/s,0.018816971320174236,0.009042676990315157
TRUE_BENIGN,32,7,9,Fwd Pkt Len Mean,0.018432334615742275,0.000929510596833311
TRUE_BENIGN,32,8,52,Fwd Seg Size Avg,0.018213264241243605,0.0025645944745589537
TRUE_BENIGN,32,9,14,Bwd Pkt Len Std,0.018055890393483157,0.0024779212835065872
TRUE_BENIGN,32,10,10,Fwd Pkt Len Std,0.017114175353358085,0.0031988064075464465
TRUE_BENIGN,32,11,7,Fwd Pkt Len Max,0.016716444360631893,0.0024418066085420374
TRUE_BENIGN,32,12,59,Init Bwd Win Byts,0.016389634940381235,0.0019772765202038926
TRUE_BENIGN,32,13,36,Bwd Pkts/s,0.016367662369183855,0.00219532562564005
TRUE_BENIGN,32,14,12,Bwd Pkt Len Min,0.015224689912531984,0.002972464366158532
TRUE_BENIGN,32,15,16,Flow Pkts/s,0.015186865997395877,0.0032509181480330418
TRUE_BENIGN,32,16,13,Bwd Pkt Len Mean,0.01518595609277441,0.006279621113261001
TRUE_BENIGN,32,17,45,PSH Flag Cnt,0.015131756189416118,0.003482774446569656
TRUE_BENIGN,32,18,18,Flow IAT Std,0.014838600918895842,0.0021469085379665865
TRUE_BENIGN,32,19,51,Pkt Size Avg,0.01457019666258234,0.0028765248565410296
TRUE_BENIGN,32,20,47,URG Flag Cnt,0.014500773445418452,0.00179035614092389
TRUE_BENIGN,32,21,64,Active Max,0.014492204375485767,0.002472496933041487
TRUE_BENIGN,32,22,1,Protocol,0.01442047932337948,0.0030710702823479982
TRUE_BENIGN,32,23,49,ECE Flag Cnt,0.014367490688641783,0.003107608595410284
TRUE_BENIGN,32,24,2,Flow Duration,0.014248180031177643,0.0008727670838823926
TRUE_BENIGN,32,25,37,Pkt Len Min,0.014112190467347255,0.0017425192778920992
TRUE_BENIGN,32,26,38,Pkt Len Max,0.014017064126117612,0.002850579230518156
TRUE_BENIGN,32,27,19,Flow IAT Max,0.013944720494656133,0.002297621348182613
TRUE_BENIGN,32,28,26,Bwd IAT Tot,0.013726222328929316,0.0022230014574915993
TRUE_BENIGN,32,29,43,SYN Flag Cnt,0.013626088973653198,0.0027648793868873664
TRUE_BENIGN,32,30,53,Bwd Seg Size Avg,0.013553727846074722,0.0019577990404767666
TRUE_BENIGN,32,31,40,Pkt Len Std,0.013498717269730648,0.002344430587031736
TRUE_BENIGN,32,32,44,RST Flag Cnt,0.013343664267659271,0.0015843550098719877
TRUE_BENIGN,32,33,11,Bwd Pkt Len Max,0.013320596868116055,0.0017811805104329878
TRUE_BENIGN,32,34,34,Bwd Header Len,0.012968931291930932,0.001586548390174798
TRUE_BENIGN,32,35,39,Pkt Len Mean,0.012935481647891035,0.002270069608774717
TRUE_BENIGN,32,36,60,Fwd Act Data Pkts,0.012918600981875309,0.005570382011778589
