cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,fpr,ppv_target,required_prevalence,status,verification_ppv
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.9,0.20175421648928757,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.1,0.0031106269775410702,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.25,0.009274183879482818,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.5,0.027315886529438258,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.75,0.07770262728822595,FINITE,0.75
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.9,0.20175421648928757,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,STANDARD,0.5,0.1450436298296769,0.003555501591001176,0.1,0.002716304336819828,FINITE,0.09999999999999998
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,STANDARD,0.5,0.1450436298296769,0.003555501591001176,0.25,0.008104882356271971,FINITE,0.24999999999999994
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,STANDARD,0.5,0.1450436298296769,0.003555501591001176,0.5,0.023926799282128347,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,STANDARD,0.5,0.1450436298296769,0.003555501591001176,0.75,0.06850231553791178,FINITE,0.75
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,STANDARD,0.5,0.1450436298296769,0.003555501591001176,0.9,0.18074415969553836,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.1,0.0038910398258841777,FINITE,0.09999999999999999
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.25,0.011582979806195891,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.5,0.0339621730884711,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.75,0.0954061208831472,FINITE,0.75
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.9,0.24035557631226812,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.1,0.0038910398258841777,FINITE,0.09999999999999999
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.25,0.011582979806195891,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.5,0.0339621730884711,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.75,0.0954061208831472,FINITE,0.75
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.9,0.24035557631226812,FINITE,0.9
STAGE24_2017_TO_2018_BRIDGE62,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge62,FLAG_CORRECTED_SOURCE_SEMANTICS,STANDARD,0.5,0.00038550501156515033,0.0014975805419886966,0.1,0.30149842156138396,FINITE,0.10000000000000003
