model,model_display,selected_outcome,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,outcome_absolute_rank
cnn,CNN,FP,2,Flow Duration,8,0.14240098849722788,0.2839833565649651,0.2780704756342203,0.5663294722709489,0,0.0,0.875,0.73046875,28
cnn,CNN,FP,18,Flow IAT Std,8,-0.016422284517164758,0.2520285384170281,0.1771783595573736,0.9424250155994534,1,0.125,0.125,0.64453125,29
cnn,CNN,FP,19,Flow IAT Max,8,0.023166604042096965,0.24672699331198905,0.19958022911544102,0.6273794614323864,1,0.125,0.5,0.76953125,30
cnn,CNN,FP,21,Fwd IAT Tot,8,-0.03932602014781246,0.22251351787478424,0.27254191257374005,0.39389464278645203,0,0.0,0.375,0.84375,31
cnn,CNN,FP,74,Idle Mean,8,0.01895701994520066,0.2215914978523146,0.14284974892396612,0.8811429144099028,1,0.125,0.375,0.8203125,32
cnn,CNN,FP,22,Fwd IAT Mean,8,-0.06229305032678374,0.19479575894491208,0.16008686507143638,0.5300108344725134,0,0.0,0.125,0.76953125,33
cnn,CNN,FP,26,Bwd IAT Tot,8,-0.13417097640981515,0.18193692210386803,0.153205772879478,0.49396843660940076,0,0.0,0.125,0.609375,34
cnn,CNN,FP,38,Bwd Pkts/s,8,0.11593487976454078,0.15506847533274204,0.007602735734530073,1.0562014365693435,1,0.125,0.625,0.78125,35
cnn,CNN,FP,1,Protocol,8,0.016932980344766223,0.151936622519993,0.12960825038211338,0.3891311244467554,0,0.0,0.25,0.84375,36
cnn,CNN,FP,12,Bwd Pkt Len Min,8,-0.14306238741595015,0.1443028655145332,0.1308218671900826,0.2678849171629801,0,0.0,0.125,0.875,37
cnn,CNN,FP,16,Flow Pkts/s,8,-0.08718540892145037,0.12666124527153694,0.032981380061803026,0.5272850134877876,1,0.125,0.625,0.81640625,38
cnn,CNN,FP,77,Idle Min,8,-0.022611142153204818,0.11165560473341402,0.07661733171226642,0.35617785032083676,0,0.0,0.125,0.75390625,39
cnn,CNN,FP,23,Fwd IAT Std,8,-0.06932839654263799,0.10968474164233441,0.06850167383438244,0.27746634659369873,0,0.0,0.125,0.671875,40
cnn,CNN,FP,70,Active Mean,8,0.10514200801796604,0.10514200801796604,0.007189904338700972,0.4289048556837641,0,0.0,1.0,0.78125,41
cnn,CNN,FP,76,Idle Max,8,-0.07347174537897508,0.07347174537897508,0.04748651711569068,0.29803153965364254,0,0.0,0.0,0.73828125,42
cnn,CNN,FP,73,Active Min,8,0.07016903189895636,0.07021581351545593,0.0002792763538285314,0.31366519120511915,0,0.0,0.625,0.83203125,43
cnn,CNN,FP,37,Fwd Pkts/s,8,-0.011779459633453213,0.06449875229739531,0.02706005006754567,0.29579863742642953,0,0.0,0.75,0.78125,44
cnn,CNN,FP,29,Bwd IAT Max,8,0.01880322506380378,0.059151852465482484,0.016942726299175828,0.2811609469315043,0,0.0,0.375,0.64453125,45
cnn,CNN,FP,8,Fwd Pkt Len Min,8,-0.058313744189108715,0.05846963769271101,0.056889222500421034,0.15022070441951346,0,0.0,0.125,0.875,46
cnn,CNN,FP,31,Fwd PSH Flags,8,0.013729346895956642,0.05070405548115467,0.023565063709143633,0.19653748307602076,0,0.0,0.375,0.96875,47
cnn,CNN,FP,43,Pkt Len Var,8,-0.03172605230384821,0.04425497336180427,0.044062415280578804,0.08463183213367136,0,0.0,0.25,0.703125,48
cnn,CNN,FP,28,Bwd IAT Std,8,0.039041171541283004,0.04376197524252687,0.033257692608398684,0.14110442671214435,0,0.0,0.75,0.515625,49
cnn,CNN,FP,45,SYN Flag Cnt,8,-0.012599644724805613,0.030300388531076226,0.016769989591866603,0.1422420114260168,0,0.0,0.5,0.96875,50
cnn,CNN,FP,4,Tot Bwd Pkts,8,0.02992245670824688,0.02992245670824688,0.0284351018718544,0.053640498276297244,0,0.0,1.0,0.66796875,51
cnn,CNN,FP,39,Pkt Len Min,8,-0.010451418123934957,0.021998830260118306,0.017191193570614452,0.05784601911557724,0,0.0,0.5,0.875,52
cnn,CNN,FP,36,Bwd Header Len,8,-0.01415871860154552,0.019172377457869403,0.016888335719084328,0.05961379206377284,0,0.0,0.25,0.6640625,53
cnn,CNN,FP,72,Active Max,8,0.001060581306831228,0.013101595633756149,0.012488885326939893,0.020716568333328467,0,0.0,0.5,0.796875,54
cnn,CNN,FP,15,Flow Byts/s,8,-0.006420563099287799,0.012684692626714433,0.007770300381176679,0.03857652053831949,0,0.0,0.25,0.65625,55
cnn,CNN,FP,64,Subflow Bwd Pkts,8,-0.002513738482760934,0.010846223041044725,0.005765598943933343,0.038375596345001615,0,0.0,0.375,0.62109375,56
cnn,CNN,FP,71,Active Std,8,-0.0027707645825976912,0.008789244579066654,0.008637358537343149,0.01703878546869038,0,0.0,0.5,0.875,57
cnn,CNN,FP,6,TotLen Bwd Pkts,8,-0.0037584275512814003,0.0037584275512814003,0.004124920572262321,0.005493871821213867,0,0.0,0.0,0.61328125,58
cnn,CNN,FP,65,Subflow Bwd Byts,8,0.001315582176446299,0.0025485202372496425,0.0016752511071938456,0.007360697740867627,0,0.0,0.625,0.53125,59
cnn,CNN,FP,5,TotLen Fwd Pkts,8,0.0006856316580341969,0.0010998004071712322,0.000869370293046544,0.0027530586768183354,0,0.0,0.75,0.68359375,60
cnn,CNN,FP,75,Idle Std,8,0.00046387120901075893,0.0006279401192956227,0.0005616239301305866,0.0021004925034540027,0,0.0,0.875,0.84375,61
cnn,CNN,FP,63,Subflow Fwd Byts,8,-0.00015416419995200746,0.0004914302673040174,0.00043434634694315536,0.0012337496465250608,0,0.0,0.375,0.63671875,62
cnn,CNN,FP,68,Fwd Act Data Pkts,8,0.00031867092446898494,0.00031995718357122907,0.00019241096598677355,0.0008226584557938648,0,0.0,0.875,0.65625,63
cnn,CNN,FP,35,Fwd Header Len,8,0.00011954415768460241,0.00024291516201900283,0.00014046188093114258,0.0006278827503632101,0,0.0,0.625,0.60546875,64
