model,model_display,case_id,baseline_id,baseline_display,integration_steps,reference_steps,signed_cosine_to_reference,absolute_cosine_to_reference,top10_jaccard_to_reference,maximum_absolute_attribution_difference,mean_absolute_attribution_difference
cnn,CNN,NEURAL_DISAGREE_06,benign_reference_32,Mean IG over 32 benign training references,128,128,0.9999999999999998,0.9999999999999998,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_07,zero_scaled,Zero standardized vector,16,128,0.9999580269413703,0.9999580269413703,1.0,0.06740900290236951,0.0068523021861286275
cnn,CNN,NEURAL_DISAGREE_07,zero_scaled,Zero standardized vector,32,128,0.9999847143513731,0.9999847143513731,1.0,0.03536443025604985,0.00317885753707296
cnn,CNN,NEURAL_DISAGREE_07,zero_scaled,Zero standardized vector,64,128,0.9999951301575177,0.9999951301575177,1.0,0.021670330798599036,0.0015258529691931709
cnn,CNN,NEURAL_DISAGREE_07,zero_scaled,Zero standardized vector,128,128,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_07,benign_median,Benign training median,16,128,0.9999537236667719,0.9999537236667719,1.0,0.06541865966596427,0.0019471805211372607
cnn,CNN,NEURAL_DISAGREE_07,benign_median,Benign training median,32,128,0.9999805093493764,0.9999805093493764,1.0,0.024466207204476564,0.0008781163359313457
cnn,CNN,NEURAL_DISAGREE_07,benign_median,Benign training median,64,128,0.9999948603621719,0.9999948603621719,1.0,0.03196954812069963,0.0007332252771758324
cnn,CNN,NEURAL_DISAGREE_07,benign_median,Benign training median,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_07,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9998388995107342,0.999838900752721,1.0,0.057257513867146725,0.005017129811888653
cnn,CNN,NEURAL_DISAGREE_07,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999739711084387,0.9999739711084387,0.8181818181818182,0.01858485523105155,0.00221685176351114
cnn,CNN,NEURAL_DISAGREE_07,benign_reference_32,Mean IG over 32 benign training references,64,128,0.999995099311915,0.999995099311915,1.0,0.010436819593096835,0.0009343382570322269
cnn,CNN,NEURAL_DISAGREE_07,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_08,zero_scaled,Zero standardized vector,16,128,0.9998914724276917,0.9998917239494536,1.0,0.45983216195253007,0.01654028374388516
cnn,CNN,NEURAL_DISAGREE_08,zero_scaled,Zero standardized vector,32,128,0.9999790571992176,0.9999790572380914,1.0,0.08516100826871931,0.004008678587223579
