model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,input_probability,input_logit,baseline_id,baseline_display,semantic_role,baseline_count,baseline_mean_logit,target_logit_difference,integration_method,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,11.683411473408341,Trapezoidal rule,64,11.6734248658434,-0.009986607564941963,0.009986607564941963,0.0008547681118371689,True,47.392835665909786,13.496935392903135
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,11.683411473408341,Trapezoidal rule,128,11.687253504091085,0.0038420306827440243,0.0038420306827440243,0.0003288449346741366,True,47.406770433348456,13.506878607410753
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.638872861862183,Trapezoidal rule,16,23.40701709316048,-0.23185576870170266,0.23185576870170266,0.009808241283609066,False,41.294679364468216,9.684169088402609
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.638872861862183,Trapezoidal rule,32,23.600244408707475,-0.03862845315470764,0.03862845315470764,0.0016341072343186434,True,41.51505120812036,9.726661762308765
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.638872861862183,Trapezoidal rule,64,23.59608413473871,-0.04278872712347237,0.04278872712347237,0.0018101001419786658,True,41.389098215017704,9.67875588959751
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,23.638872861862183,Trapezoidal rule,128,23.639394183095334,0.0005213212331511841,0.0005213212331511841,2.2053557130139593e-05,True,41.376946458202234,9.661582362266572
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.518892049789429,Trapezoidal rule,16,7.00513728068303,0.4862452308936014,0.4862452308936014,0.07459016458315304,False,31.4353101880983,14.372663268964466
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.518892049789429,Trapezoidal rule,32,6.700125487567716,0.18123343777828715,0.18123343777828715,0.027801263833497795,False,31.405442869164148,14.421844579399037
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.518892049789429,Trapezoidal rule,64,6.47518995707446,-0.04370209271496872,0.04370209271496872,0.006703914159213661,True,31.51340935721851,14.525316522341363
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,6.518892049789429,Trapezoidal rule,128,6.601279916241542,0.08238786645211338,0.08238786645211338,0.012638323479336439,False,31.462814538327198,14.464032870723148
cnn,CNN,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.9696998000144958,3.4658305644989014,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,8.685354823246598,Trapezoidal rule,16,8.473773686900401,-0.21158113634619724,0.21158113634619724,0.024360678481424192,False,32.058780123673756,9.385079484138288
